OXFORD/ROSE,CEDAR/OXFORD,,7060,,,,,,,,,,,
CEDAR/OXFORD,CEDAR/EUCLID,,6923,,,,,,,,,,,
CEDAR/OXFORD,HEARST/OXFORD,,8799,,,,,,,,,,,
CEDAR/OXFORD,CEDAR/MLK,,10061,,,,,,,,,,,
CEDAR/SHATTUCK,HEARST/HENRY,,18408,,,,,,,,,,,
CEDAR/MILVIA,HEARST/MILVIA,,3059,,,,,,,,,,,
CEDAR/MLK,HEARST/MLK,,16342,,,,,,,,,,,
CEDAR/MLK,HOPKINS/MLK,,14703,,,,,,,,,,,
HEARST/OXFORD,GAYLEY/HEARST,,14898,,,,,,,,,,,
GAYLEY/HEARST,GAYLEY/PIEDMONT,,17831,,,,,,,,,,,
BANCROFT/PIEDMONT,BANCROFT/TELEGRAPH,NO,5128,,,,,,,,,,,
BANCROFT/TELEGRAPH,BANCROFT/OXFORD,NO,13184,,,,,,,,,,,
GAYLEY/PIEDMONT,DERBY/DWIGHT,,19349,,,,,,,,,,,
DERBY/DWIGHT,DWIGHT/MLK,,15378,,,,,,,,,,,
COLLEGE/DWIGHT,ASHBY/COLLEGE,,11593,,,,,,,,,,,
DWIGHT/TELEGRAPH,ASHBY/TELEGRAPH,,24237,,,,,,,,,,,
DWIGHT/SHATTUCK,ADELINE/SHATTUCK,,36361,,,,,,,,,,,
DWIGHT/SHATTUCK,HENRY/UNIVERSITY,,27599,,,,,,,,,,,
OXFORD/UNIVERSITY,MLK/UNIVERSITY,,24750,,,,,,,,,,,
MLK/UNIVERSITY,SACRAMENTO/UNIVERSITY,,32405,,,,,,,,,,,
SACRAMENTO/UNIVERSITY,SAN PABLO/UNIVERSITY,,34402,,,,,,,,,,,
SAN PABLO/UNIVERSITY,I80/UNIVERSITY,,14494,,,,,,,,,,,
HEARST/MLK,HEARST/SACRAMENTO,,6132,,,,,,,,,,,
DWIGHT/MLK,DWIGHT/SACRAMENTO,,11318,,,,,,,,,,,
DWIGHT/SACRAMENTO,DWIGHT/SAN PABLO,,34402,,,,,,,,,,,
SAN PABLO/UNIVERSITY,ASHBY/SAN PABLO,,26589,,,,,,,,,,,
7TH/DWIGHT,DWIGHT/SACRAMENTO,,10250,,,,,,,,,,,
SACRAMENTO/UNIVERSITY,DWIGHT/SACRAMENTO,,15521,,,,,,,,,,,
SACRAMENTO/UNIVERSITY,CEDAR/SACRAMENTO,,21542,,,,,,,,,,,
HOPKINS/SACRAMENTO,CEDAR/SACRAMENTO,,12970,,,,,,,,,,,
CEDAR/SACRAMENTO,CEDAR/MLK,,7833,,,,,,,,,,,
CEDAR/SACRAMENTO,CEDAR/SAN PABLO,,7658,,,,,,,,,,,
CEDAR/SAN PABLO,GILMAN/SAN PABLO,,28712,,,,,,,,,,,
CEDAR/SAN PABLO,SAN PABLO/UNIVERSITY,,19118,,,,,,,,,,,
CEDAR/SAN PABLO,6TH/CEDAR,,5627,,,,,,,,,,,
6TH/CEDAR,CEDAR/I80,,5547,,,,,,,,,,,
6TH/CEDAR,6TH/GILMAN,,6407,,,,,,,,,,,
6TH/CEDAR,6TH/UNIVERSITY,,8549,,,,,,,,,,,
HEARST/I80,DELAWARE/SAN PABLO,,5913,,,,,,,,,,,
DELAWARE/SAN PABLO,DELAWARE/SACRAMENTO,,5403,,,,,,,,,,,
6TH/UNIVERSITY,7TH/DWIGHT,,13533,,,,,,,,,,,
7TH/DWIGHT,4TH/UNIVERSITY,,5501,,,,,,,,,,,
7TH/DWIGHT,7TH/ASHBY,,13533,,,,,,,,,,,
ASHBY/I80,ASHBY/SAN PABLO,,23402,,,,,,,,,,,
ASHBY/SAN PABLO,ASHBY/SACRAMENTO,,16844,,,,,,,,,,,
ASHBY/SACRAMENTO,ASHBY/MLK,,16844,,,,,,,,,,,
ASHBY/SACRAMENTO,ALCATRAZ/SACRAMENTO,,14656,,,,,,,,,,,
ASHBY/SACRAMENTO,DWIGHT/SACRAMENTO,,19548,,,,,,,,,,,
ALCATRAZ/SACRAMENTO,ADELINE/ALCATRAZ,,15066,,,,,,,,,,,
ADELINE/ALCATRAZ,ADELINE/SHATTUCK,,37102,,,,,,,,,,,
DWIGHT/MLK,ADELINE/MLK,,22981,,,,,,,,,,,
ADELINE/SHATTUCK,ASHBY/SHATTUCK,,17160,,,,,,,,,,,
ASHBY/MLK,ASHBY/TELEGRAPH,,19263,,,,,,,,,,,
ASHBY/TELEGRAPH,ASHBY/COLLEGE,,19349,,,,,,,,,,,
BANCROFT/COLLEGE,ASHBY/COLLEGE,,11593,,,,,,,,,,,
DERBY/DWIGHT,ASHBY/CLAREMONT,,20728,,,,,,,,,,,
CLAREMONT/DERBY,ASHBY/CLAREMONT,,20542,,,,,,,,,,,
COLLEGE/DWIGHT,ASHBY/CLAREMONT,,20762,,,,,,,,,,,
ASHBY/COLLEGE,ASHBY/CLAREMONT,,17332,,,,,,,,,,,
GILMAN/I80,I80/UNIVERSITY,,267000,,,,,,,,,,,
I80/UNIVERSITY,ASHBY/I80,,270000,,,,,,,,,,,
,,,,,,,,,,,,,,
4TH/GILMAN,4TH/DWIGHT,,,,,,,,,,,,,
4TH/CEDAR,4TH/GILMAN,,5501,,,,,,,,,,,
4TH/CEDAR,4TH/HEARST,,5501,,,,,,,,,,,
4TH/HEARST,4TH/UNIVERSITY,,5501,,,,,,,,,,,
4TH/UNIVERSITY,4TH/DWIGHT,,5501,,,,,,,,,,,
,,,,,,,,,,,,,,
CEDAR/I80,6TH/CEDAR,,,,,,,,,,,,,
4TH/CEDAR,6TH/CEDAR,,5547,,,,,,,,,,,
4TH/CEDAR,CEDAR/I80,,5547,,,,,,,,,,,
,,,,,,,,,,,,,,
HEARST/I80,DELAWARE/SAN PABLO,,,,,,,,,,,,,
6TH/HEARST,4TH/HEARST,,5913,,,,,,,,,,,
4TH/HEARST,HEARST/I80,,5913,,,,,,,,,,,
6TH/HEARST,DELAWARE/SAN PABLO,,5913,,,,,,,,,,,
,,,,,,,,,,,,,,
ARLINGTON/HENRY/LOS ANGELES/MARIN,GRIZZLY PEAK/MARIN,,,,,,,,,,,,,
ARLINGTON/HENRY/LOS ANGELES/MARIN,MARIN/SPRUCE,,6425,,,,,,,,,,,
MARIN/SPRUCE,MARIN/SHASTA,,6425,,,,,,,,,,,
MARIN/SHASTA,GRIZZLY PEAK/MARIN,,6425,,,,,,,,,,,
,,,,,,,,,,,,,,
6TH/CEDAR,6TH/UNIVERSITY,,,,,,,,,,,,,
6TH/CEDAR,6TH/HEARST,,8549,,,,,,,,,,,
6TH/HEARST,6TH/UNIVERSITY,,8549,,,,,,,,,,,
,,,,,,,,,,,,,,
4TH/DWIGHT,DWIGHT/SACRAMENTO,,,,,,,,,,,,,
4TH/DWIGHT,7TH/DWIGHT,,10250,,,,,,,,,,,
7TH/DWIGHT,DWIGHT/SAN PABLO,,10250,,,,,,,,,,,
DWIGHT/SAN PABLO,DWIGHT/SACRAMENTO,,10250,,,,,,,,,,,
,,,,,,,,,,,,,,
HENRY/ROSE,HENRY/UNIVERSITY,,,,,,,,,,,,,
HENRY/ROSE,CEDAR/SHATTUCK,,18408,,,,,,,,,,,
CEDAR/SHATTUCK,HEARST/HENRY,,18408,,,,,,,,,,,
HEARST/HENRY,HENRY/UNIVERSITY,,18408,,,,,,,,,,,
,,,,,,,,,,,,,,
HOPKINS/MILVIA,MILVIA/UNIVERSITY,,,,,,,,,,,,,
HOPKINS/MILVIA,MILVIA/ROSE,,3059,,,,,,,,,,,
MILVIA/ROSE,CEDAR/MILVIA,,3059,,,,,,,,,,,
CEDAR/MILVIA,HEARST/MILVIA,,3059,,,,,,,,,,,
HEARST/MILVIA,MILVIA/UNIVERSITY,,3059,,,,,,,,,,,
,,,,,,,,,,,,,,
MILVIA/UNIVERSITY,DWIGHT/MILVIA,,,,,,,,,,,,,
MILVIA/UNIVERSITY,BANCROFT/MILVIA,,5440,,,,,,,,,,,
BANCROFT/MILVIA,DWIGHT/MILVIA,,5440,,,,,,,,,,,
,,,,,,,,,,,,,,
CEDAR/MLK,HOPKINS/MLK,,,,,,,,,,,,,
HOPKINS/MLK,MLK/ROSE,,14703,,,,,,,,,,,
MLK/ROSE,CEDAR/MLK,,14703,,,,,,,,,,,
,,,,,,,,,,,,,,
ASHBY/ADELINE,ADELINE/ALCATRAZ,,,,,,,,,,,,,
ASHBY/ADELINE,ADELINE/MLK,,37101,,,,,,,,,,,
ADELINE/MLK,ADELINE/ALCATRAZ,,37101,,,,,,,,,,,
,,,,,,,,,,,,,,
DWIGHT/MLK,DERBY/DWIGHT,,,,,,,,,,,,,
DWIGHT/MLK,DWIGHT/MILVIA,,15378,,,,,,,,,,,
DWIGHT/MILVIA,DWIGHT/SHATTUCK,,15378,,,,,,,,,,,
DWIGHT/SHATTUCK,DWIGHT/OXFORD,,15378,,,,,,,,,,,
DWIGHT/OXFORD,DWIGHT/TELEGRAPH,,15378,,,,,,,,,,,
DWIGHT/TELEGRAPH,COLLEGE/DWIGHT,,15378,,,,,,,,,,,
COLLEGE/DWIGHT,DERBY/DWIGHT,,15378,,,,,,,,,,,
,,,,,,,,,,,,,,
GAYLEY/PIEDMONT,DERBY/DWIGHT,,,,,,,,,,,,,
GAYLEY/PIEDMONT,BANCROFT/PIEDMONT,,19349,,,,,,,,,,,
BANCROFT/PIEDMONT,DERBY/DWIGHT,,19349,,,,,,,,,,,
,,,,,,,,,,,,,,
BANCROFT/TELEGRAPH,BANCROFT/MILVIA,,,,,,,,,,,,,
BANCROFT/TELEGRAPH,BANCROFT/OXFORD,,13184,,,,,,,,,,,
BANCROFT/OXFORD,BANCROFT/SHATTUCK,,13184,,,,,,,,,,,
BANCROFT/SHATTUCK,BANCROFT/MILVIA,,13184,,,,,,,,,,,
,,,,,,,,,,,,,,
EUCLID/SHASTA,HEARST/EUCLID,,,,,,,,,,,,,
EUCLID/SHASTA,CEDAR/EUCLID,,4515,,,,,,,,,,,
CEDAR/EUCLID,HEARST/EUCLID,,4515,,,,,,,,,,,
,,,,,,,,,,,,,,
GRIZZLY PEAK/MARIN,ARLINGTON/HENRY/LOS ANGELES/MARIN,,,,,,,,,,,,,
GRIZZLY PEAK/MARIN,MARIN/SHASTA,,6425,,,,,,,,,CEDAR/OXFORD,,"'CEDAR/OXFORD',"
MARIN/SHASTA,MARIN/SPRUCE,,6425,,,,,,,,,CEDAR/SHATTUCK,,"'CEDAR/SHATTUCK',"
MARIN/SPRUCE,ARLINGTON/HENRY/LOS ANGELES/MARIN,,6425,,,,,,,,,CEDAR/MILVIA,,"'CEDAR/MILVIA',"
,,,,,,,,,,,,CEDAR/MLK,,"'CEDAR/MLK',"
EUCLID/MARIN,EUCLID/GRIZZLY PEAK,,1489,,,,,,,,,CEDAR/SACRAMENTO,,"'CEDAR/SACRAMENTO',"
,,,,,,,,,,,,OXFORD/ROSE,,"'OXFORD/ROSE',"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,"'COLUSA/THOUSAND OAKS',",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LOS ANGELES/MARIN,COLUSA/LOS ANGELES,,,,,,,,,,,CEDAR/OXFORD,,"'CEDAR/OXFORD',"
GRIZZLY PEAK/SHASTA,MARIN/SHASTA,,,,,,,,,,,CEDAR/SHATTUCK,,"'CEDAR/SHATTUCK',"
GRIZZLY PEAK/MARIN,MARIN/SHASTA,,,,,,,,,,,CEDAR/MILVIA,,"'CEDAR/MILVIA',"
MARIN/SPRUCE,MARIN/SHASTA,,,,,,,,,,,CEDAR/MLK,,"'CEDAR/MLK',"
LA LOMA/SHASTA,CEDAR/LA LOMA,,,,,,,,,,,CEDAR/SACRAMENTO,,"'CEDAR/SACRAMENTO',"
ARLINGTON/HENRY/LOS ANGELES/MARIN,ROSE/SPRUCE,,,,,,,,,,,OXFORD/ROSE,,"'OXFORD/ROSE',"
HENRY/ROSE,MILVIA/ROSE,,,,,,,,,,,,,
MILVIA/ROSE,HOPKINS/MILVIA,,,,,,,,,,,,,
MILVIA/ROSE,MILVIA/MLK,,,,,,,,,,,,,
MILVIA/ROSE,CEDAR/MILVIA,,,,,,,,,,,,,
GAYLEY/PIEDMONT,BANCROFT/PIEDMONT,,,,,,,,,,,,,
MARIN/MLK,LOS ANGELES/MLK,,,,,"'MLK/UNIVERSITY',",,,,,,,,
